feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Vibrio.sp..16	Group	Vespertilio murinus	-3.5173776901852	1.55144672880257	10	7	0.0531254046912834	0.193814212808846
Nitrosospira.multiformis	Group	Vespertilio murinus	-2.22447151465408	0.981371399283733	10	7	0.0531638006294214	0.193897875535868
Anaeromyxobacter.oryzae	Group	Vespertilio murinus	-2.77647611884652	1.2286102171322	10	9	0.0537348518784281	0.194085348386898
Sphingobacterium.sp..KACC.22765	Group	Vespertilio murinus	-3.52714477811514	1.56119070315922	10	8	0.0537839543528604	0.194085348386898
Elizabethkingia.miricola	Group	Vespertilio murinus	-2.56485743679383	1.13414425711918	10	8	0.0535974727981297	0.194085348386898
Spiroplasma.culicicola	Group	Vespertilio murinus	-5.22666611026849	2.3118829321618	10	9	0.0536567398392834	0.194085348386898
Slackia.heliotrinireducens	Group	Vespertilio murinus	-2.06743804717226	0.915001909326233	10	4	0.0537651048542529	0.194085348386898
Streptomonospora.nanhaiensis	Group	Vespertilio murinus	-2.93261025922658	1.29816984931984	10	10	0.0538033871116402	0.194085348386898
Allobranchiibius.sp..GilTou73	Group	Vespertilio murinus	-2.34409850349047	1.03605794366472	10	9	0.0535117662581585	0.194085348386898
Curtobacterium.sp..MCPF17.002	Group	Vespertilio murinus	-2.94660569061936	1.30379402459355	10	9	0.0537203584593551	0.194085348386898
Microbacterium.sp..1.5R	Group	Vespertilio murinus	-3.55891169218026	1.57325504932173	10	6	0.0535438534386272	0.194085348386898
Streptomyces.tubbatahanensis	Group	Vespertilio murinus	-2.34607630796232	1.0369866772611	10	9	0.0535217108943475	0.194085348386898
Streptomyces.sp..FIT100	Group	Vespertilio murinus	-2.47277244557671	1.09325271321189	10	9	0.053567574040558	0.194085348386898
Nocardia.wallacei	Group	Vespertilio murinus	-2.48423515019942	1.09668165722578	10	8	0.0532857324631694	0.194085348386898
Corynebacterium.liangguodongii	Group	Vespertilio murinus	-2.58102608010185	1.14091466415466	10	8	0.0535346468648636	0.194085348386898
Tepidibacter.sp..8C15b	Group	Vespertilio murinus	-2.51817507502314	1.11152580694291	10	9	0.0532622052807044	0.194085348386898
Sporosarcina.sp..PTS2304	Group	Vespertilio murinus	-3.26327853530498	1.44430998833019	10	9	0.0537724278934014	0.194085348386898
Bacillus.sp..FJAT.18017	Group	Vespertilio murinus	-2.16617420716306	0.957294791765804	10	9	0.053487461842138	0.194085348386898
Leuconostoc.falkenbergense	Group	Vespertilio murinus	-4.28725735028629	1.89631335188631	10	9	0.053652148923336	0.194085348386898
Vagococcus.intermedius	Group	Vespertilio murinus	-3.73298314202806	1.65246236535722	10	9	0.0538026795346285	0.194085348386898
Aquitalea.magnusonii	Group	Vespertilio murinus	-4.40678825900132	1.95032189950318	10	8	0.053762755309904	0.194085348386898
Paracidovorax.cattleyae	Group	Vespertilio murinus	-2.47848865066468	1.09671369033883	10	8	0.0537288084824919	0.194085348386898
Stella.humosa	Group	Vespertilio murinus	-3.17727394077407	1.40236901905297	10	9	0.0532509397767963	0.194085348386898
Qipengyuania.spongiae	Group	Vespertilio murinus	-2.23490615086862	0.988716054454355	10	8	0.0536877893911149	0.194085348386898
Sphingobium.indicum	Group	Vespertilio murinus	-2.01947065998888	0.893110410455087	10	9	0.0536247167840256	0.194085348386898
Sagittula.sp..P11	Group	Vespertilio murinus	-2.36357582535167	1.04556079162801	10	7	0.0536735977115778	0.194085348386898
Paracoccus.alcaliphilus	Group	Vespertilio murinus	-2.77305134127363	1.22592141942439	10	9	0.05355377824777	0.194085348386898
Devosia.sp..1566	Group	Vespertilio murinus	-2.62086744988025	1.15980377068742	10	9	0.0537432650311823	0.194085348386898
Mesorhizobium.sp..B4.1.4	Group	Vespertilio murinus	-4.03814656712284	1.78679757388624	10	8	0.0537231128265765	0.194085348386898
Candidatus.Azoamicus.ciliaticola	Group	Vespertilio murinus	-2.1139863959411	0.934012112243552	10	7	0.0534431133879836	0.194085348386898
Vibrio.cincinnatiensis	Group	Vespertilio murinus	-2.33598068142214	1.03259134831211	10	8	0.0535339792030242	0.194085348386898
Pseudomonas.sp..Eqa60	Group	Vespertilio murinus	-0.923785727507297	0.408278805597681	10	3	0.0535019342735885	0.194085348386898
Pseudomonas.allokribbensis	Group	Vespertilio murinus	-2.68796282427518	1.18846405463441	10	7	0.0535790615242925	0.194085348386898
Pseudomonas.coleopterorum	Group	Vespertilio murinus	-3.23834410650891	1.43020055409298	10	9	0.0533664869268891	0.194085348386898
Pseudomonas.sp..FP2034	Group	Vespertilio murinus	-2.76045528894464	1.21848491184246	10	5	0.0532647243149463	0.194085348386898
Oceanimonas.pelagia	Group	Vespertilio murinus	-2.7849448893418	1.23261944881144	10	9	0.053775108616357	0.194085348386898
Providencia.sp..PROV252	Group	Vespertilio murinus	-5.06703942282148	2.24039388311726	10	10	0.0535822413745117	0.194085348386898
Escherichia.sp..HH091.1A	Group	Vespertilio murinus	-2.44175532676237	1.08028573474978	10	8	0.0536983444700805	0.194085348386898
Mollivirus.sibericum	Group	Vespertilio murinus	-2.86080231406016	1.26320426309427	10	4	0.0533281916775384	0.194085348386898
Marvinvirus.mosmoris	Group	Vespertilio murinus	-3.00713896659861	1.33102617440782	10	5	0.0537841410832986	0.194085348386898
Schnuerera.ultunensis	Group	Vespertilio murinus	-2.92935166881203	1.29690547649617	10	8	0.0538294415537994	0.194123487961775
Archangium.gephyra	Group	Vespertilio murinus	-2.770511383015	1.22689538734883	10	9	0.0538778590617228	0.194130596199696
Turicibacter.sp..H121	Group	Vespertilio murinus	-2.55974221617252	1.13349644860447	10	5	0.0538675149402306	0.194130596199696
Pseudomonas.extremorientalis	Group	Vespertilio murinus	-3.98806034293559	1.76579405950267	10	6	0.0538475834538973	0.194130596199696
Micromonospora.profundi	Group	Vespertilio murinus	-3.75196736627672	1.66188144035678	10	9	0.0539186994286756	0.19422101738621
Sphingomonas.aerolata	Group	Vespertilio murinus	-3.40257142293119	1.50724224155623	10	9	0.0539339327329756	0.19422101738621
Cutibacterium.granulosum	Group	Vespertilio murinus	-1.92718184635506	0.853818317383987	10	9	0.0539632363392794	0.194228924160566
Mycolicibacterium.mucogenicum	Group	Vespertilio murinus	-2.23808124157041	0.991579330516829	10	8	0.0539671083639374	0.194228924160566
Cellulomonas.fimi	Group	Vespertilio murinus	-2.56324626207016	1.13589275242008	10	10	0.0540088670200544	0.194287752733992
Enterocloster.clostridioformis	Group	Vespertilio murinus	-2.28895338286939	1.01445327984085	10	7	0.0540299380958153	0.194287752733992
Vibrio.sp..ABG19	Group	Vespertilio murinus	-2.20040859846865	0.975145531935664	10	7	0.0540172348523525	0.194287752733992
