#Classification	D1	D2	D3	D4	D5	P1	P2	P3	P4	P5
Borreliella lusitaniae	0	0	1	0	1	15	11	0	0	25
Borreliella carolinensis	0	1	0	0	0	22	8	2	1	19
Borreliella bavariensis	0	1	1	0	3	27	1	3	1	3
Borreliella bissettiae	0	1	0	0	2	200	1	26	6	44
Borreliella japonica	1	0	2	0	19	5	2	1	1	3
Borreliella tanukii	1	2	0	0	1	18	2	9	1	3
Borreliella finlandensis	1	0	0	0	1	2	1	1	0	2
Borreliella kurtenbachii	1	0	0	0	0	1	0	0	0	1
Borreliella mayonii	1	0	0	0	1	16	0	0	1	3
Borreliella burgdorferi	1	0	0	1	1	55	636	8	668	14
Candidatus Borreliella tachyglossi	1	0	0	0	10	19	4	6	3	6
Borreliella lanei	2	0	0	0	0	6	0	0	1	9
Borreliella sinica	2	1	0	0	2	14	4	25	1	4
Borreliella andersonii	2	1	0	0	6	20	5	17	8	13
Borreliella afzelii	2	1	0	0	1	16	1	0	1	5
Borreliella americana	3	0	2	0	1	9	1	3	1	3
Borreliella yangtzensis	4	1	0	0	3	14	2	1	3	9
Borreliella valaisiana	4	1	0	0	1	37	3	3	4	16
Borreliella turdi	6	1	0	0	2	25	146	3	135	11
Borreliella californiensis	8	1	0	0	3	43	487	2	484	3
Borreliella garinii	183	0	0	0	6	42	5	2	6	6
Brucepastera parasyntrophica	0	0	0	0	2	50	3	6	12	17
Treponema sp. OMZ 792	0	0	0	0	0	1	0	0	0	0
Treponema sp. OMZ 803	0	0	0	0	0	1	0	0	0	2
Treponema sp. OMZ 906	0	0	0	0	0	5	0	1	0	0
Treponema medium	0	0	0	0	1	18	4	1	7	10
Treponema sp. OMZ 857	0	0	0	0	2	4	2	0	0	4
Treponema sp. OMZ 838	0	0	0	0	2	3	0	1	0	0
Treponema sp. OMZ 799	0	2	0	0	0	0	0	0	1	1
Treponema sp. OMZ 305	0	2	0	0	0	11	0	0	1	2
Treponema sp. OMZ 787	0	4	0	0	1	20	1	1	1	5
Treponema parvum	1	0	0	0	6	24	6	3	6	9
Treponema socranskii	2	1	0	0	0	15	3	18	7	12
Treponema pallidum	3	8	0	0	1	5	0	0	10	2
Treponema peruense	3	3	0	0	1	31	2	3	2	10
Treponema ruminis	5	1	2	0	2	46	1	8	6	12
Treponema primitia	6	0	0	0	6	31	0	4	5	12
Treponema putidum	9	10	4	0	18	47	385	1	350	18
Treponema brennaborense	10	1	11	0	5	17	2	6	5	5
Treponema succinifaciens	14	10	1	0	7	94	1	6	1	32
Treponema phagedenis	25	0	0	0	14	59	6	4	7	40
Treponema vincentii	26	5	32	0	13	70	4	3	9	34
Treponema denticola	26	4	0	0	21	146	12	15	25	78
Treponema pedis	31	6	2	0	58	55	9	9	9	49
Treponema sp. OMZ 788	1	2	0	0	2	0	0	1	3	5
Treponema sp. B152	3	0	0	0	4	0	0	0	0	1
Treponema sp. OMZ 855	3	0	0	0	3	1	0	0	0	1
Treponema sp. Marseille-Q4132	162	30	10	5	135	3487	7	287	17	1215
Haliangium ochraceum	55	6	1	0	29	274	17	35	61	196
Nannocystis poenicansa	93	47	22	1	174	392	74	35	599	935
Labilithrix luteola	5	3	1	0	11	101	11	5	21	47
Sandaracinus amylolyticus	41	82	21	0	262	434	197	32	1069	1794
Pajaroellobacter abortibovis	0	0	0	0	2	1	1	0	2	3
Chondromyces crocatus	23	7	6	0	18	147	24	12	22	111
Polyangium aurulentum	32	10	5	0	10	289	19	39	29	186
Sorangium cellulosum	137	101	17	0	304	1475	514	142	1428	2563
Vulgatibacter incomptus	7	0	0	0	9	58	9	12	9	50
Anaeromyxobacter paludicola	23	13	2	0	46	237	27	25	166	378
Anaeromyxobacter oryzae	24	20	4	0	63	357	36	26	363	610
Anaeromyxobacter dehalogenans	27	6	4	0	23	254	17	28	34	166
Anaeromyxobacter sp. K	11	2	0	0	4	106	13	18	4	77
Anaeromyxobacter sp. Fw109-5	60	8	63	0	35	186	9	22	27	140
Stigmatella aurantiaca	18	5	4	0	27	236	9	24	28	119
Cystobacter fuscus	27	9	6	0	22	244	21	30	106	188
Melittangium boletus	33	19	12	0	58	336	23	38	448	772
Archangium gephyra	20	7	2	0	26	334	17	45	44	194
Archangium violaceum	50	65	4	1	40	557	53	48	165	1547
Pyxidicoccus parkwaysis	64	11	7	0	36	355	35	48	40	230
Myxococcus sp. NMCA1	0	0	0	0	0	3	2	0	3	2
Myxococcus xanthus	17	4	2	0	23	215	12	25	23	134
Myxococcus landrumus	18	3	2	0	14	167	13	11	11	95
Myxococcus sp. MxC21-1	1	2	0	0	4	79	2	9	4	33
Myxococcus sp. SDU36	18	33	3	0	5	80	24	17	36	849
Myxococcus hansupus	21	6	1	0	17	146	13	14	17	93
Myxococcus stipitatus	21	3	3	0	55	158	18	19	73	102
