Gene Family	D1	D2	D3	D5	P1	P2	P3	P4	P5
UniRef90_A0A318FDC0	0.0	0.0	0.0	0.0	0.0	0.704721635	0.0	0.0	0.0
UniRef90_A0A318FDE3	0.0	0.0	0.0	0.0	0.0	0.4642720885	0.0	0.0	0.0
UniRef90_A0A318FDY7	0.0	0.0	0.0	0.0	0.0	0.577034045	0.0	0.577700751	0.577700751
UniRef90_A0A318FE55	0.0	1.0235414534	0.0	0.0	0.0	0.506638893	0.0	1.0235414534	0.0
UniRef90_A0A318FEK7	0.0	0.2893350411	0.0	0.2893350411	0.0	1.1389758039	0.0	0.4789272031	0.0
UniRef90_A0A318FEP5	0.0	0.0	0.0	0.0	0.0	0.8647145993	0.0	0.0	0.0
UniRef90_A0A318FFB7	0.0	0.0	0.0	0.0	0.0	0.4970875645	0.0	0.0	0.0
UniRef90_A0A318FFD6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7132667618
UniRef90_A0A318FFG1	0.0	0.0	0.0	0.0	0.0	0.7299270073	0.0	0.0	0.0
UniRef90_A0A318FGA4	0.0	0.0	0.0	0.0	0.0	2.1381635335	0.0	0.0	0.0
UniRef90_A0A318FGB8	0.0	0.0	0.0	0.0	0.0	0.5304203443	0.0	0.0	0.0
UniRef90_A0A318FHB1	0.0	0.0	0.0	0.0	0.0	0.8064516129	0.0	0.0	0.0
UniRef90_A0A318FHB2	0.4921259843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4914004914
UniRef90_A0A318FHE3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4184397163	0.0
UniRef90_A0A318FHU0	0.3658424954	0.476103688	0.0	0.0	0.4306314944	0.8643042351	0.0	1.2223971318	0.4306314944
UniRef90_A0A318FIP5	0.0	0.0	0.0	0.0	0.0	0.6886203437	0.0	0.0	0.0
UniRef90_A0A318FJ86	0.0	0.0	0.0	0.0	0.0	0.9900990099	0.0	0.0	0.0
UniRef90_A0A318FK22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7381331653	0.0
UniRef90_A0A318FKD3	0.0	0.0	0.0	0.0	0.0	0.4105231327	0.0	0.409649773	0.0
UniRef90_A0A318FKI7	0.0	0.0	0.0	0.4878415234	0.0	0.0	0.0	0.9756097561	0.0
UniRef90_A0A318FKJ9	0.0	0.0	0.0	0.0	0.0	0.4512531402	0.0	0.0	0.0
UniRef90_A0A318FL05	0.0	0.6049606776	0.0	0.6049606776	0.0	0.6049606776	0.0	0.0	0.0
UniRef90_A0A318FL34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8865248227	0.0
UniRef90_A0A318FLC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4630745432
UniRef90_A0A318FLI6	0.0	0.0	0.0	0.0	0.0	1.7761989343	0.0	0.0	0.0
UniRef90_A0A318FLQ1	0.0	0.0	0.0	0.0	0.0	0.7272727273	0.0	0.0	0.0
UniRef90_A0A318FLR1	0.0	0.718907261	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A318FLW5	0.0	0.0	0.0	0.0	0.0	0.558347292	0.0	0.558347292	0.0
UniRef90_A0A318FMB3	0.0	0.0	0.0	0.0	0.0	0.718907261	0.0	0.0	0.0
UniRef90_A0A318FMC7	0.0	0.0	0.0	0.0	0.0	1.6155088853	0.0	0.0	0.0
UniRef90_A0A318FN37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.736377025	0.0
UniRef90_A0A318FNC4	0.0	0.0	0.0	0.9478672986	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A318FNG1	0.0	0.0	0.0	0.0	0.0	1.6447368421	0.0	0.0	0.0
UniRef90_A0A318FNI1	0.0	0.6064281383	0.0	0.6064281383	0.0	0.8503214333	0.0	0.6064281383	0.0
UniRef90_A0A318FNP9	0.0	0.0	0.0	0.0	0.0	1.0070493454	0.0	0.0	0.0
